Student ID,Age,Gender,Major,Year of Study,TOEFL Score,IELTS Score,Previous English Grade,Learning Style,Learning Mode,Learning Pace,Learning Time,Material Type,Hours/Week,Participation,Quiz Score,Engagement Level,Competency Level,Final Grade
ID_253,20.0,M,Literature,Senior,62.0,5.6,C,Reading/Writing,Hybrid,Slow,Afternoon,Interactive,11.0,Medium,66.0,Medium,Advanced,F
ID_185,24.0,M,Engineering,Senior,70.0,6.1,D,Reading/Writing,Online,Slow,Morning,Audio,19.0,Low,80.0,Low,Intermediate,D
ID_232,18.0,M,Literature,Freshman,105.0,7.2,C,Visual,Online,Average,Evening,Interactive,18.0,Medium,67.0,Medium,Intermediate,F
ID_243,21.0,F,Biology,Freshman,77.0,5.6,B,Auditory,Hybrid,Slow,Evening,Audio,8.0,High,83.0,Low,Beginner,C
ID_22,23.0,M,Literature,Freshman,74.0,6.8,F,Reading/Writing,Online,Fast,Evening,Audio,19.0,Low,67.0,High,Advanced,C
ID_341,20.0,M,Literature,Senior,61.0,5.7,A,Auditory,Hybrid,Average,Evening,Interactive,19.0,Low,98.0,High,Advanced,F
ID_77,23.0,M,Biology,Freshman,67.0,8.9,B,Auditory,Online,Slow,Evening,Audio,9.0,Low,73.0,Low,Intermediate,F
ID_203,22.0,F,Mathematics,Junior,106.0,6.5,C,Auditory,Hybrid,Average,Evening,Interactive,19.0,Low,60.0,Low,Beginner,B
ID_364,23.0,F,Engineering,Senior,89.0,7.4,F,Reading/Writing,Online,Fast,Afternoon,Interactive,11.0,Medium,79.0,Medium,Advanced,B
ID_440,19.0,F,Mathematics,Freshman,104.0,6.5,F,Auditory,In-person,Average,Evening,Text,15.0,Low,88.0,Medium,Intermediate,B
ID_251,24.0,F,Literature,Senior,100.0,8.9,F,Reading/Writing,Online,Average,Evening,Video,9.0,Low,78.0,High,Beginner,F
ID_488,18.0,F,Engineering,Sophomore,112.0,8.7,C,Kinesthetic,In-person,Average,Afternoon,Interactive,15.0,Medium,71.0,High,Advanced,D
ID_273,19.0,M,Engineering,Senior,87.0,8.3,A,Visual,In-person,Slow,Evening,Interactive,15.0,Medium,71.0,Low,Advanced,C
ID_154,20.0,M,Chemistry,Junior,99.0,5.2,B,Reading/Writing,Online,Slow,Afternoon,Audio,7.0,Medium,80.0,High,Intermediate,D
ID_500,23.0,F,Mathematics,Freshman,84.0,6.4,A,Auditory,Online,Slow,Evening,Text,16.0,Low,66.0,Medium,Beginner,B
ID_34,20.0,M,Chemistry,Sophomore,70.0,6.9,D,Auditory,Hybrid,Slow,Evening,Audio,12.0,High,96.0,Low,Intermediate,A
ID_83,23.0,F,Biology,Sophomore,66.0,8.8,C,Kinesthetic,Online,Slow,Morning,Interactive,19.0,Medium,84.0,Low,Beginner,B
ID_431,22.0,F,Literature,Freshman,115.0,6.4,F,Auditory,Online,Average,Morning,Audio,11.0,Low,91.0,Medium,Advanced,B
ID_52,20.0,M,Literature,Freshman,62.0,8.7,A,Auditory,Online,Slow,Afternoon,Audio,11.0,High,62.0,Low,Beginner,D
ID_159,23.0,M,Mathematics,Junior,61.0,5.8,C,Visual,Hybrid,Average,Evening,Video,10.0,Medium,95.0,Low,Advanced,B
ID_397,18.0,F,Biology,Freshman,73.0,8.9,C,Visual,Hybrid,Fast,Evening,Text,16.0,High,51.0,Medium,Intermediate,A
ID_250,23.0,M,Literature,Freshman,115.0,7.8,A,Reading/Writing,Hybrid,Average,Evening,Audio,9.0,High,55.0,Medium,Advanced,C
ID_141,24.0,M,Biology,Senior,76.0,5.9,B,Auditory,Online,Average,Afternoon,Text,13.0,High,54.0,Medium,Beginner,C
ID_486,23.0,M,Mathematics,Sophomore,75.0,7.9,B,Kinesthetic,Hybrid,Slow,Evening,Interactive,11.0,Low,79.0,High,Beginner,D
ID_448,24.0,M,Mathematics,Freshman,109.0,7.9,D,Auditory,Hybrid,Slow,Afternoon,Audio,16.0,High,53.0,Low,Intermediate,B
ID_421,18.0,M,Literature,Junior,83.0,7.9,F,Kinesthetic,Online,Average,Evening,Text,16.0,Medium,82.0,High,Intermediate,B
ID_464,19.0,M,Biology,Freshman,85.0,7.2,D,Auditory,Online,Average,Morning,Audio,14.0,Medium,70.0,Medium,Intermediate,B
ID_244,18.0,M,Biology,Freshman,65.0,5.2,A,Reading/Writing,In-person,Average,Afternoon,Audio,19.0,High,85.0,Low,Beginner,A
ID_91,19.0,M,Literature,Freshman,62.0,8.4,A,Reading/Writing,Online,Average,Morning,Interactive,8.0,Low,74.0,High,Advanced,B
ID_348,20.0,M,Literature,Junior,115.0,8.9,F,Visual,Online,Fast,Morning,Interactive,8.0,High,78.0,High,Beginner,D
ID_322,19.0,F,Literature,Freshman,97.0,7.1,A,Auditory,Online,Average,Afternoon,Audio,13.0,Medium,64.0,Medium,Intermediate,C
ID_179,18.0,F,Chemistry,Freshman,93.0,5.5,B,Kinesthetic,Online,Fast,Morning,Audio,14.0,Medium,70.0,Low,Intermediate,B
ID_126,21.0,M,Mathematics,Senior,97.0,5.4,C,Kinesthetic,In-person,Average,Morning,Text,9.0,Low,216.80209536332248,Low,Beginner,C
ID_450,19.0,M,Biology,Senior,60.0,7.4,A,Reading/Writing,Hybrid,Slow,Morning,Text,16.0,Medium,56.0,High,Advanced,C
ID_329,21.0,F,Biology,Sophomore,115.0,7.9,A,Visual,Hybrid,Fast,Afternoon,Interactive,6.0,Low,57.0,High,Advanced,F
ID_338,24.0,M,Mathematics,Junior,84.0,8.1,F,Kinesthetic,Hybrid,Slow,Evening,Video,18.0,Low,81.0,Medium,Intermediate,D
ID_90,24.0,F,Biology,Freshman,117.0,6.6,A,Visual,In-person,Fast,Evening,Text,19.0,Low,83.0,Medium,Beginner,D
ID_252,19.0,M,Literature,Senior,118.0,6.0,D,Reading/Writing,Online,Fast,Afternoon,Video,15.0,Medium,74.0,Low,Intermediate,B
ID_474,18.0,F,Mathematics,Senior,99.0,6.3,D,Kinesthetic,Online,Fast,Evening,Video,19.0,Medium,76.0,Medium,Intermediate,F
ID_131,20.0,F,Literature,Freshman,92.0,5.3,D,Auditory,In-person,Average,Afternoon,Video,13.0,Medium,89.0,Medium,Beginner,B
ID_48,21.0,M,Engineering,Junior,65.0,5.0,B,Reading/Writing,Hybrid,Average,Afternoon,Audio,6.0,High,75.0,High,Beginner,C
ID_36,24.0,F,Literature,Junior,62.0,6.4,D,Reading/Writing,Online,Fast,Afternoon,Text,12.0,Low,91.0,High,Advanced,F
ID_363,19.0,F,Literature,Senior,71.0,8.9,A,Visual,Online,Slow,Afternoon,Video,14.0,High,74.0,Low,Advanced,C
ID_14,22.0,F,Mathematics,Sophomore,93.0,5.5,C,Visual,In-person,Slow,Evening,Text,16.0,Low,72.0,Medium,Beginner,A
ID_318,19.0,F,Biology,Junior,61.0,8.6,F,Kinesthetic,Online,Average,Morning,Video,14.0,Medium,67.0,Low,Intermediate,D
ID_40,24.0,M,Chemistry,Sophomore,87.0,7.1,D,Kinesthetic,Online,Average,Evening,Text,14.0,Low,69.0,High,Advanced,B
ID_320,24.0,M,Mathematics,Freshman,96.0,7.5,D,Auditory,Hybrid,Fast,Afternoon,Interactive,19.0,Medium,63.0,High,Advanced,A
ID_466,22.0,F,Engineering,Sophomore,69.0,7.4,D,Kinesthetic,Hybrid,Slow,Morning,Text,10.0,Medium,63.0,Medium,Intermediate,F
ID_261,19.0,M,Mathematics,Sophomore,92.0,8.3,C,Kinesthetic,Hybrid,Fast,Afternoon,Video,6.0,High,60.0,Low,Intermediate,D
ID_305,20.0,M,Biology,Sophomore,74.0,8.6,B,Visual,In-person,Average,Evening,Video,14.0,High,54.0,Medium,Intermediate,C
ID_224,18.0,F,Literature,Junior,71.0,7.0,A,Visual,In-person,Average,Afternoon,Interactive,16.0,High,79.0,Low,Intermediate,B
ID_285,19.0,F,Engineering,Sophomore,112.0,5.0,C,Kinesthetic,Online,Average,Morning,Video,7.0,Low,56.0,Low,Intermediate,C
